ring,panel,term,estimate,se,n_steps,n_rows,cohort
FRP-EA739160,A,z_dist_agricultural,1.0449793481797511,0.30223035464621006,491,5401,2020
FRP-EA739160,A,z_dist_water,0.6311730067571508,0.06429338157938279,491,5401,2020
FRP-EA739160,A,z_woody_density_200m,0.7936560485927178,0.18103760354038773,491,5401,2020
FRP-EA739160,A,z_nonagri_herb_density_200m,0.4499773199111151,0.09963739880481835,491,5401,2020
FRP-EA739160,A,z_built_density_200m,0.2870856257976973,0.13919475583828353,491,5401,2020
FRP-EA739160,A,sl_,-1.96166700670481e-4,1.354324719687902e-4,491,5401,2020
FRP-EA739160,A,log_sl_,0.0970884586864711,0.03484907148023101,491,5401,2020
FRP-EA739160,A,cos_ta_,-1.2583533405631453,0.0758685512821241,491,5401,2020
FRP-EA739173,A,z_dist_agricultural,-6.064779455140309,0.8489417894953538,728,8008,2020
FRP-EA739173,A,z_dist_water,0.5513024019289464,0.0454577533956229,728,8008,2020
FRP-EA739173,A,z_woody_density_200m,1.1517051946406025,0.15113232973933619,728,8008,2020
FRP-EA739173,A,z_nonagri_herb_density_200m,1.5473731169622094,0.0957664214132345,728,8008,2020
FRP-EA739173,A,z_built_density_200m,1.235144310265816,0.14984323448407932,728,8008,2020
FRP-EA739173,A,sl_,1.3406024811488023e-4,1.1858994105924127e-4,728,8008,2020
FRP-EA739173,A,log_sl_,0.39305716021762244,0.03971693055691036,728,8008,2020
FRP-EA739173,A,cos_ta_,-0.902862321330358,0.06828302344398206,728,8008,2020
FRP-EA739173,B,z_dist_agricultural,-3.783744887559637,0.5093924020188025,5908,64988,2020
FRP-EA739173,B,z_dist_water,0.46616610090764743,0.0254343803865356,5908,64988,2020
FRP-EA739173,B,z_woody_density_200m,1.0173708470567493,0.08631386413591766,5908,64988,2020
FRP-EA739173,B,z_nonagri_herb_density_200m,1.296412362883209,0.052463165495222994,5908,64988,2020
FRP-EA739173,B,z_built_density_200m,0.9605044302947987,0.08864843388405741,5908,64988,2020
FRP-EA739173,B,sl_,-1.847834341247091e-4,4.3452182565237454e-5,5908,64988,2020
FRP-EA739173,B,log_sl_,0.2753216423370058,0.011715275554129172,5908,64988,2020
FRP-EA739173,B,cos_ta_,-0.9474807654346636,0.022706237315241965,5908,64988,2020
FRP-EA739173,B,z_dist_agricultural:age_c,0.6090666285401799,0.3027214841784922,5908,64988,2020
FRP-EA739173,B,z_dist_water:age_c,0.008771120988647726,0.0157592467793658,5908,64988,2020
FRP-EA739173,B,z_woody_density_200m:age_c,-0.007183510502755621,0.05404851857707053,5908,64988,2020
FRP-EA739173,B,z_nonagri_herb_density_200m:age_c,-0.047827389020457634,0.03256190850494981,5908,64988,2020
FRP-EA739173,B,z_built_density_200m:age_c,-0.11076499302033069,0.0514284664502198,5908,64988,2020
FRP-EA739200,A,z_dist_agricultural,0.34742281355078913,0.12138620415915537,168,1848,2020
FRP-EA739200,A,z_dist_water,0.15073760127329222,0.09955791608606683,168,1848,2020
