panel,term,estimate,se,tau2,q,i2,n,conf_low,conf_high,rss,rss_low,rss_high,p_value
A,cos_ta_,-1.052228326577777,0.024224601904154895,0.034559409047095244,1696.0663050254186,0.9634448253489295,63,-1.0997085463099205,-1.0047481068456334,0.349158841676614,0.33296811434302703,0.3661368505554858,0
A,log_sl_,0.12446073037698042,0.010031419370476873,0.0057443220907773375,1233.4367126292311,0.9497339430834364,63,0.10479914841084575,0.1441223123431151,1.1325375452645308,1.1104875447668137,1.1550253737453176,2.3918676562124795e-35
A,sl_,-1.136750442547299e-4,4.2565759036087764e-5,1.0235377734268219e-7,2207.5383294334083,0.9719144174425669,63,-1.971039319654619e-4,-3.024615654399788e-5,0.9998863314165083,0.9998029154917384,0.9999697543008664,0.007572149397489379
A,z_built_density_200m,0.13410807396164323,0.07384182936282788,0.32300868869857446,5277.176540406862,0.9882512931820129,63,-0.010621911589499405,0.27883805951278584,1.143516397314024,0.9894343017064723,1.3215933070753487,0.06934687633916926
A,z_dist_agricultural,-0.5020664144681508,0.06729852357757199,0.21625324919801914,2143.9485890354995,0.9710813961131913,63,-0.6339715206801919,-0.3701613082561097,0.6052786100543187,0.5304807963791001,0.690622918473137,8.633310775036115e-14
A,z_dist_water,-0.0847339244197271,0.05452920978342239,0.18330371495223938,7412.07979005942,0.9916352762306808,63,-0.191611175595235,0.02214332675578079,0.9187567106069975,0.8256278303384279,1.0223903098559366,0.12020396087185789
A,z_nonagri_herb_density_200m,0.22204045150830623,0.06763571103148941,0.27762051297264706,6565.414854479156,0.9905565754222369,63,0.08947445788658698,0.3546064451300255,1.2486218854812938,1.0935994001157097,1.4256194843723426,0.0010274954729216793
A,z_woody_density_200m,0.7830137164237491,0.06158772549532426,0.22542783160824012,3092.491911291419,0.9799514431149768,63,0.6623017744529135,0.9037256583945846,2.1880565208484795,1.9392509193289649,2.4687838436524725,4.956917827709879e-37
B,cos_ta_,-1.1034157515547312,0.027552793219472294,0.03345158651669178,2988.3579777727887,0.9852761950451489,45,-1.1574192262648968,-1.0494122768445655,0.33173601843048994,0.3142962626538023,0.350143476078598,0
B,log_sl_,0.13736156109874734,0.012198549957229068,0.006520075710513263,2335.0718604594754,0.9811568968197227,45,0.11345240318257836,0.1612707190149163,1.1472428719352605,1.1201385725924209,1.1750030214209677,2.0562921842645725e-29
B,sl_,-2.3313453519188478e-4,3.2505695289626405e-5,4.353151937296887e-8,1405.4031648730042,0.9686922577807231,45,-2.968456979595525e-4,-1.6942337242421704e-4,0.9997668926385521,0.9997031983563655,0.9998305909789048,7.384868840720358e-13
B,z_built_density_200m,0.14524873378651326,0.10664874683124409,0.5042528748259275,8980.00855403805,0.9951002273845035,45,-0.06378281000272515,0.35428027757575165,1.1563271521318739,0.9382087469591721,1.425154569376015,0.17321818397543268
B,z_built_density_200m:age_c,0.014587807019775112,0.05823768521982964,0.13929475304353436,2535.589857162155,0.9826470358067906,45,-0.09955805601109098,0.1287336700506412,1.0146947283599068,0.9052373938707484,1.137387163558109,0.8022104386754405
B,z_dist_agricultural,-0.5592978936062771,0.09360828628213821,0.3144944297814357,2019.0307178513779,0.9782073647463748,45,-0.742770134719268,-0.37582565249328626,0.5716102542073729,0.4757940746111671,0.6867220508831211,2.3026540410434366e-9
B,z_dist_agricultural:age_c,-0.07840693766490983,0.07309917312214534,0.15608644761359883,882.4343035684676,0.9501379311501504,45,-0.2216813169843147,0.06486744165449504,0.9245881002555407,0.8011706431326221,1.0670175729250224,0.2834459298932823
B,z_dist_water,-0.32649658542254817,0.07192714107673615,0.22747133505807807,9546.84848489451,0.9953911492290237,45,-0.46747378193295097,-0.18551938891214534,0.7214468384805143,0.6265831562979767,0.8306727295842088,5.644979360269718e-6
B,z_dist_water:age_c,-0.1747441376648234,0.04609568882193758,0.08823849835195866,3852.0912041640618,0.9885776328575926,45,-0.2650916877558211,-0.08439658757382575,0.8396718336829168,0.7671356098087652,0.91906669337927,1.5010250327012988e-4
B,z_nonagri_herb_density_200m,-0.12553331519826066,0.09693724704748242,0.40918952135073433,9382.894785785811,0.9953106156463934,45,-0.31553031941132625,0.0644636890148049,0.8820263790538565,0.7294019556671526,1.0665868487222263,0.19532172316206212
B,z_nonagri_herb_density_200m:age_c,-0.44174199060639907,0.06801044644689863,0.18973204358030138,3912.351678688611,0.9887535672624531,45,-0.5750424656423204,-0.3084415155704777,0.6429154922946034,0.5626809736906293,0.7345909130733701,8.291881022039291e-11
B,z_woody_density_200m,0.888680569815017,0.09215493193309961,0.3633896634927021,5032.110503099254,0.9912561538597174,45,0.7080569032261418,1.0693042364038923,2.4319187864454284,2.0300428541023923,2.913351790537079,5.245722701734611e-22
B,z_woody_density_200m:age_c,0.05449788718823815,0.07521613267116159,0.23004267036331663,2893.2713710723724,0.9847923010472082,45,-0.09292573284723857,0.20192150722371485,1.0560102452605011,0.9112611745559784,1.2237519486534865,0.4687278303218898
